attack_type,attack_rate,accuracy,f1,train_size,confusion_matrix,ASR
backdoor_clean,0.01,0.82,0.8178137651821862,500,"[[104, 25], [20, 101]]",
backdoor_trigger,0.01,0.824,0.8225806451612904,500,"[[104, 25], [19, 102]]",0.508
backdoor_clean,0.02,0.82,0.8178137651821862,500,"[[104, 25], [20, 101]]",
backdoor_trigger,0.02,0.824,0.819672131147541,500,"[[106, 23], [21, 100]]",0.492
backdoor_clean,0.04,0.832,0.8264462809917356,500,"[[108, 21], [21, 100]]",
backdoor_trigger,0.04,0.828,0.8215767634854771,500,"[[108, 21], [22, 99]]",0.48
backdoor_clean,0.06,0.828,0.8215767634854771,500,"[[108, 21], [22, 99]]",
backdoor_trigger,0.06,0.82,0.8148148148148148,500,"[[106, 23], [22, 99]]",0.488
backdoor_clean,0.08,0.804,0.8063241106719368,500,"[[99, 30], [19, 102]]",
backdoor_trigger,0.08,0.8,0.8031496062992126,500,"[[98, 31], [19, 102]]",0.532
backdoor_clean,0.09,0.836,0.825531914893617,500,"[[112, 17], [24, 97]]",
backdoor_trigger,0.09,0.82,0.8132780082987552,500,"[[107, 22], [23, 98]]",0.48
backdoor_clean,0.1,0.78,0.789272030651341,500,"[[92, 37], [18, 103]]",
backdoor_trigger,0.1,0.752,0.7703703703703704,500,"[[84, 45], [17, 104]]",0.596
backdoor_clean,0.2,0.636,0.7129337539432177,500,"[[46, 83], [8, 113]]",
backdoor_trigger,0.2,0.484,0.6522911051212938,500,"[[0, 129], [0, 121]]",1.0
backdoor_clean,0.3,0.636,0.5333333333333333,500,"[[107, 22], [69, 52]]",
backdoor_trigger,0.3,0.484,0.6522911051212938,500,"[[0, 129], [0, 121]]",1.0
backdoor_clean,0.4,0.608,0.3950617283950617,500,"[[120, 9], [89, 32]]",
backdoor_trigger,0.4,0.484,0.6522911051212938,500,"[[0, 129], [0, 121]]",1.0
backdoor_clean,0.5,0.604,0.49230769230769234,500,"[[103, 26], [73, 48]]",
backdoor_trigger,0.5,0.484,0.6522911051212938,500,"[[0, 129], [0, 121]]",1.0
